
Name                       Length LastWriteTime                    
----                       ------ -------------                    
AkAudioInput.dll           100864 2026-05-05T15:08:19.6497600-07:00
AkAudioInput.pdb          4157440 2026-05-05T15:08:19.6674143-07:00
AkCompressor.dll           104960 2026-05-05T15:08:19.6699794-07:00
AkCompressor.pdb          4173824 2026-05-05T15:08:19.6877192-07:00
AkDelay.dll                105984 2026-05-05T15:08:19.6907481-07:00
AkDelay.pdb               4182016 2026-05-05T15:08:19.7071326-07:00
AkExpander.dll             106496 2026-05-05T15:08:19.7071326-07:00
AkExpander.pdb            4173824 2026-05-05T15:08:19.7299144-07:00
AkFlanger.dll              128000 2026-05-05T15:08:19.7330158-07:00
AkFlanger.pdb             4288512 2026-05-05T15:08:19.7498245-07:00
AkGain.dll                 101376 2026-05-05T15:08:19.7508876-07:00
AkGain.pdb                4157440 2026-05-05T15:08:19.7645767-07:00
AkGuitarDistortion.dll     130560 2026-05-05T15:08:19.7665800-07:00
AkGuitarDistortion.pdb    4313088 2026-05-05T15:08:19.7841060-07:00
AkHarmonizer.dll           158208 2026-05-05T15:08:19.7851066-07:00
AkHarmonizer.pdb          4435968 2026-05-05T15:08:19.7999343-07:00
AkMatrixReverb.dll         166912 2026-05-05T15:08:19.8044481-07:00
AkMatrixReverb.pdb        4280320 2026-05-05T15:08:19.8208661-07:00
AkMotion.dll               165888 2026-05-05T15:08:27.0621661-07:00
AkMotion.pdb              4247552 2026-05-05T15:08:27.0846740-07:00
AkParametricEQ.dll         120320 2026-05-05T15:08:19.8243754-07:00
AkParametricEQ.pdb        4255744 2026-05-05T15:08:19.8460821-07:00
AkPeakLimiter.dll          109056 2026-05-05T15:08:19.8470728-07:00
AkPeakLimiter.pdb         4190208 2026-05-05T15:08:19.8673768-07:00
AkPitchShifter.dll         125952 2026-05-05T15:08:19.8688964-07:00
AkPitchShifter.pdb        4296704 2026-05-05T15:08:19.8847792-07:00
AkRecorder.dll             101376 2026-05-05T15:08:19.8862943-07:00
AkRecorder.pdb            4206592 2026-05-05T15:08:19.9031242-07:00
AkReflect.dll              169472 2026-05-05T15:08:28.4815264-07:00
AkReflect.pdb             4558848 2026-05-05T15:08:28.5033238-07:00
AkRoomVerb.dll             215040 2026-05-05T15:08:19.9071208-07:00
AkRoomVerb.pdb            4468736 2026-05-05T15:08:19.9243128-07:00
AkSilenceGenerator.dll      92160 2026-05-05T15:08:19.9263049-07:00
AkSilenceGenerator.pdb    4124672 2026-05-05T15:08:19.9516973-07:00
AkSineTone.dll             100864 2026-05-05T15:08:19.9542505-07:00
AkSineTone.pdb            4165632 2026-05-05T15:08:19.9718187-07:00
AkSoundEngineDLL.dll      1784832 2026-05-05T15:08:20.0071331-07:00
AkSoundEngineDLL.pdb     26046464 2026-05-05T15:08:20.1107692-07:00
AkSoundSeedAir.dll         160768 2026-05-05T15:08:29.8490480-07:00
AkSoundSeedAir.pdb        4493312 2026-05-05T15:08:29.8725300-07:00
AkSoundSeedImpact.dll      140800 2026-05-05T15:08:29.8755368-07:00
AkSoundSeedImpact.pdb     4329472 2026-05-05T15:08:29.8967674-07:00
AkStereoDelay.dll          132096 2026-05-05T15:08:20.1143272-07:00
AkStereoDelay.pdb         4321280 2026-05-05T15:08:20.1344873-07:00
AkSynthOne.dll             138752 2026-05-05T15:08:20.1354509-07:00
AkSynthOne.pdb            4345856 2026-05-05T15:08:20.1570728-07:00
AkTimeStretch.dll          133120 2026-05-05T15:08:20.1594503-07:00
AkTimeStretch.pdb         4304896 2026-05-05T15:08:20.1748344-07:00
AkToneGen.dll              121344 2026-05-05T15:08:20.1768332-07:00
AkToneGen.pdb             4222976 2026-05-05T15:08:20.1997268-07:00
AkTremolo.dll              125952 2026-05-05T15:08:20.2007234-07:00
AkTremolo.pdb             4263936 2026-05-05T15:08:20.2166452-07:00
Auro.dll                  2535424 2026-05-05T15:08:30.9997180-07:00
Auro.pdb                  9531392 2026-05-05T15:08:31.0605323-07:00
ImmerseApi.dll             664576 2026-05-07T08:27:29.5318160-07:00
ImmerseAudioAPI.dll       1771520 2026-05-07T08:27:29.5645212-07:00
ImmerseAudioRenderer.dll   235520 2026-05-07T08:28:42.7232021-07:00
ImmerseEngine.dll           75264 2026-05-07T08:27:29.5897820-07:00
iZotope.dll                465920 2026-05-05T15:08:33.2197017-07:00
iZotope.pdb               6041600 2026-05-05T15:08:33.2662756-07:00
MasteringSuite.dll         161792 2026-05-05T15:08:25.8023601-07:00
MasteringSuite.pdb        4427776 2026-05-05T15:08:25.8245150-07:00
McDSP.dll                  264192 2026-05-05T15:08:34.2028153-07:00
McDSP.pdb                 4796416 2026-05-05T15:08:34.2300286-07:00
SFTest.exe                 359936 2026-05-05T15:08:20.2795329-07:00



